file name,defect status
0002cc93b.jpg,1
00031f466.jpg,0
000418bfc.jpg,0
000789191.jpg,0
0007a71bf.jpg,1
000a4bcdd.jpg,1
000f6bf48.jpg,1
0014fce06.jpg,1
001982b08.jpg,0
001d1b355.jpg,0
001d3d093.jpg,0
0025bde0c.jpg,1
002af848d.jpg,1
002e73b3c.jpg,0
002fc4e19.jpg,1
0030401a5.jpg,1
003ac9d2a.jpg,0
0046839bd.jpg,1
005b92582.jpg,0
005d86c25.jpg,1
005da33cf.jpg,0
005dbf0e0.jpg,0
005f02e20.jpg,1
005f19695.jpg,1
006a4402e.jpg,0
0074d81d0.jpg,0
00762aa3b.jpg,0
007f28bba.jpg,0
008479d08.jpg,0
008621629.jpg,1
0088260da.jpg,1
00894274f.jpg,0
008b9acf5.jpg,0
008d0f87b.jpg,1
008ef3d74.jpg,1
0095cd374.jpg,1
009b12ccc.jpg,0
00ac8372f.jpg,1
00af2671f.jpg,1
00b989e78.jpg,0
00bc01bfe.jpg,1
00bf8497a.jpg,1
00c24a74c.jpg,0
00c6060db.jpg,0
00c88fed0.jpg,1
00cdb56a0.jpg,1
00d639396.jpg,1
00d7ae946.jpg,0
00dcb19f3.jpg,0
00ded7837.jpg,0
00e0398ad.jpg,1
00ec97699.jpg,1
00f1665e6.jpg,1
00f68d337.jpg,0
00f6e702c.jpg,1
00f95222c.jpg,0
00fe04c98.jpg,0
00fe7f023.jpg,0
0101e2cf0.jpg,0
01053d28f.jpg,1
010db68d1.jpg,1
012a4581b.jpg,0
012a9a4c7.jpg,1
012d29df4.jpg,1
012f26693.jpg,1
01338c0ea.jpg,1
0139dd004.jpg,1
0141c9bf3.jpg,1
014409fcc.jpg,0
0148e9891.jpg,1
014ebe543.jpg,1
01540cab1.jpg,1
015ed7fac.jpg,0
01661826d.jpg,1
0167a740e.jpg,1
016af13d0.jpg,1
016efe618.jpg,1
01764ee81.jpg,1
017c828a1.jpg,1
017d75655.jpg,0
0181695f9.jpg,0
018ccdfed.jpg,1
01919944c.jpg,1
0198ab92d.jpg,0
019f42c2a.jpg,1
01a1027ce.jpg,1
01afbfa7a.jpg,1
01b043500.jpg,1
01b237ab8.jpg,0
01b492dd6.jpg,1
01b6c2dc1.jpg,0
01c3ef286.jpg,1
01cf446d4.jpg,1
01cfacf80.jpg,1
01d590c5f.jpg,0
01d97b205.jpg,0
01dbcd2ec.jpg,0
01df77e59.jpg,1
01e020dc5.jpg,1
01e501f99.jpg,0
01e69cfc3.jpg,0
01ebe0d32.jpg,1
01fd320c9.jpg,1
01fd50e68.jpg,1
0202a5f22.jpg,0
020ff3106.jpg,1
0217af9b1.jpg,1
0218c0fcc.jpg,1
02291e913.jpg,1
023353d24.jpg,0
023a21cf2.jpg,0
02431211b.jpg,1
02449f836.jpg,0
025cb9f6e.jpg,1
025dc8dc8.jpg,1
026105525.jpg,0
026183d85.jpg,1
02701c239.jpg,1
02709b038.jpg,0
0274a26b4.jpg,0
02761e0d1.jpg,0
027b280f4.jpg,0
0281aba7b.jpg,1
0285f63ad.jpg,0
028eb44d1.jpg,1
028ed7768.jpg,1
0294f23c0.jpg,1
02a78fb18.jpg,0
02aa62471.jpg,0
02b2cb5c3.jpg,0
02b2d3aa4.jpg,1
02b6b9f29.jpg,0
02b906933.jpg,1
02bb80457.jpg,0
02bf279c9.jpg,1
02c4655ff.jpg,1
02c79bfcb.jpg,1
02c7f44d9.jpg,0
02d006f47.jpg,0
02d18b8a4.jpg,1
02d3ca489.jpg,0
02d573611.jpg,1
02d8c6b30.jpg,1
02ea1d0e8.jpg,0
030336aa4.jpg,0
03098160c.jpg,0
031179c6e.jpg,0
031614d60.jpg,0
031627893.jpg,1
031f334ec.jpg,1
031fc45b5.jpg,0
03216ed91.jpg,0
03284f71b.jpg,0
03395a3da.jpg,0
0340e13c4.jpg,1
03461f8e0.jpg,1
034941f9d.jpg,1
034a72783.jpg,0
034b387c3.jpg,0
034e64ff3.jpg,0
035021da2.jpg,1
0358eaf5b.jpg,0
0360edfb8.jpg,1
036505ca3.jpg,0
036c4e5d2.jpg,1
036c7d18c.jpg,1
037887e11.jpg,0
037fca267.jpg,1
0384b81f8.jpg,0
03860f6a9.jpg,1
0386ce84b.jpg,1
